iter	Passed	Remaining
0	1	101
1	1	87
2	2	83
3	3	76
4	3	74
5	4	72
6	5	72
7	6	71
8	6	70
9	7	69
10	8	68
11	9	67
12	9	66
13	10	65
14	11	65
15	12	64
16	13	65
17	14	65
18	15	65
19	17	68
20	18	69
21	19	68
22	20	68
23	21	66
24	21	65
25	22	65
26	23	63
27	24	62
28	24	60
29	25	59
30	26	58
31	27	57
32	27	56
33	28	55
34	29	54
35	29	53
36	30	52
37	31	51
38	32	51
39	33	49
40	34	48
41	34	47
42	35	46
43	35	45
44	36	44
45	36	43
46	37	42
47	38	41
48	38	40
49	39	39
50	39	38
51	40	37
52	41	37
53	42	36
54	42	35
55	43	34
56	44	33
57	45	32
58	45	31
59	46	31
60	47	30
61	48	29
62	49	28
63	50	28
64	50	27
65	51	26
66	52	25
67	52	24
68	53	24
69	54	23
70	55	22
71	56	21
72	56	21
73	57	20
74	58	19
75	59	18
76	60	17
77	60	17
78	61	16
79	62	15
80	63	14
81	64	14
82	64	13
83	65	12
84	66	11
85	67	10
86	67	10
87	68	9
88	69	8
89	70	7
90	71	7
91	71	6
92	72	5
93	73	4
94	73	3
95	74	3
96	75	2
97	76	1
98	76	0
99	77	0
